Catalog Number,Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Quincena Solar Eclipse,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m),Partial Eclipse Duration (m),Duration,Ones
,2020 June 21,,,,,T,,,,,,,,,,1
,2019 January 21,,,,,T,,,,,,,,,,1
,2018 July 27,,,,,T,,,,,,,,,,1
,2018 January 31,,,,,T,,,,,,,,,,1
,2015 September 28,,,,,T,,,,,,,,,,1
,2015 April 4,,,,,T,,,,,,,,,,1
,2014 October 8,,,,,T,,,,,,,,,,1
,2014 April 15,,,,,T,,,,,,,,,,1
,2011 December 10,,,,,T,,,,,,,,,,1
,2011 June 15,,,,,T,,,,,,,,,,1
,2010 December 21,,,,,T,,,,,,,,,,1
,2008 February 21,,,,,T,,,,,,,,,,1
,2007 August 28,,,,,T,,,,,,,,,,1
,2007 March 3,,,,,T,,,,,,,,,,1
,2004 October 28,,,,,T,,,,,,,,,,1
,2004 May 4,,,,,T,,,,,,,,,,1
,2003 November 9,,,,,T,,,,,,,,,,1
,2003 May 16,,,,,T,,,,,,,,,,1
,2001 January 9,,,,,T,,,,,,,,,,1
,2000 July 16,,,,,T,,,,,,,,,,1
,2000 January 21,,,,,T,,,,,,,,,,1
,1997 September 16,,,,,T,,,,,,,,,,1
,1996 September 27,,,,,T,,,,,,,,,,1
,1996 April 3,,,,,T,,,,,,,,,,1
,1993 November 29,,,,,T,,,,,,,,,,1
,1993 June 4,,,,,T,,,,,,,,,,1
,1992 December 9,,,,,T,,,,,,,,,,1
21,1991 December 22,15:38:22,46231,-49351,-7,T,-p,0.4019,2.1044,1.1362,23N,42W,308.3,193.5,52.6,1
22,1990 June 17,09:59:52,46219,-49345,-2,T,-t,-0.3722,2.2071,1.1436,22S,40E,360.9,217.8,59.8,1
24,1989 June 6,14:31:12,46196,-49333,8,T,h-,0.4062,2.1212,1.1041,19S,28W,338.4,207,49.8,1
41,1982 July 18,20:21:53,46023,-49245,7,T,pp,-0.2744,2.388,1.3214,24S,115W,364.6,224.6,83.7,1
63,1972 January 3,00:18:02,45794,-49128,-7,T,-p,0.4132,2.0826,1.1165,24N,172W,307.5,192.6,49,1
66,1971 June 16,21:23:00,45759,-49110,8,T,a-,0.3272,2.2651,1.2501,22S,133W,341.3,213.2,73.4,1
15,1993 February 23,02:59:48,46300,-49386,1,T-,pp,-0.2503,2.4408,1.3571,16N,153E,371.8,228.2,87.7,1
23,1990 December 12,06:49:16,46207,-49339,3,T-,p-,-0.2724,2.3547,1.3616,21N,90E,323.9,206.7,80.9,1
32,1986 September 29,07:21:46,46115,-49292,5,T-,p-,-0.099,2.6872,1.6656,5S,82E,341.6,219.4,98.8,1
57,1975 March 5,09:52:15,45863,-49163,1,T-,pp,-0.1908,2.5483,1.4683,12N,48E,373.3,231.5,96,1
65,1972 December 22,15:28:24,45771,-49116,3,T-,p-,-0.2679,2.3631,1.3695,23N,41W,324.9,207.4,81.7,1
74,1968 October 9,15:47:22,45679,-49069,5,T-,p-,-0.0907,2.7019,1.6812,0S,47W,340.6,218.9,98.9,1
83,1964 July 29,03:15:13,45587,-49022,7,T-,pp,-0.2132,2.503,1.4312,23S,141E,368.2,228.5,92.9,1
5,1997 May 6,18:57:01,46392,-49433,-1,T+,pp,0.1003,2.6513,1.6963,11S,92W,322.8,213.5,98.2,1
6,1997 October 31,06:54:09,46380,-49427,4,T+,pp,0.2207,2.5057,1.4014,9N,88E,374.4,228.7,90.6,1
16,1993 August 19,03:45:11,46288,-49380,6,T+,p-,0.1639,2.5396,1.5744,19S,137E,320.2,209.8,93.2,1
31,1986 April 6,03:30:53,46127,-49298,0,T+,pp,0.0913,2.6827,1.698,1N,141E,334.6,218.5,99.9,1
40,1982 January 22,10:03:40,46035,-49251,2,T+,p-,0.2411,2.4129,1.4182,23N,45E,328.9,210.7,86.1,1
47,1979 May 17,02:13:09,45954,-49210,-1,T+,pp,0.177,2.5092,1.5567,14S,156E,320.4,210.9,93.3,1
48,1979 November 10,14:56:40,45943,-49204,4,T+,pp,0.2178,2.5117,1.4059,13N,35W,375,229,91,1
58,1975 August 29,11:55:30,45851,-49157,6,T+,p-,0.1314,2.6018,1.6318,15S,13E,321.8,211,95.3,1
73,1968 April 16,10:42:21,45691,-49075,0,T+,pp,0.0198,2.8146,1.8283,3S,30E,336.4,220.1,102,1
82,1964 February 2,18:10:18,45599,-49028,2,T+,p-,0.2119,2.4635,1.4746,21N,78W,328.3,211.8,89.6,1
89,1961 May 28,09:31:42,45519,-48987,-1,T+,-p,0.2521,2.3705,1.4197,17S,44E,317.3,207.2,85.3,1
90,1961 November 21,22:58:46,45507,-48981,4,T+,pp,0.2154,2.5164,1.4101,16N,157W,375.4,229.3,91.3,1
