CLASS,NOAA_ar_num,DATE,start_time,end_time,peak_time
X1.0,11875,2013-10-28,2013-10-28 01:41:00,2013-10-28 02:12:00,2013-10-28 02:03:00
X1.0,11893,2013-11-19,2013-11-19 10:14:00,2013-11-19 10:34:00,2013-11-19 10:26:00
X1.0,12017,2014-03-29,2014-03-29 17:35:00,2014-03-29 17:54:00,2014-03-29 17:48:00
X1.0,12087,2014-06-11,2014-06-11 08:59:00,2014-06-11 09:10:00,2014-06-11 09:06:00
X1.0,12192,2014-10-25,2014-10-25 16:55:00,2014-10-25 18:11:00,2014-10-25 17:08:00
X1.1,11429,2012-03-05,2012-03-05 02:30:00,2012-03-05 04:43:00,2012-03-05 04:09:00
X1.1,11515,2012-07-06,2012-07-06 23:01:00,2012-07-06 23:14:00,2012-07-06 23:08:00
X1.1,11890,2013-11-08,2013-11-08 04:20:00,2013-11-08 04:29:00,2013-11-08 04:26:00
X1.1,11890,2013-11-10,2013-11-10 05:08:00,2013-11-10 05:18:00,2013-11-10 05:14:00
X1.1,12192,2014-10-19,2014-10-19 04:17:00,2014-10-19 05:48:00,2014-10-19 05:03:00
X1.2,11748,2013-05-15,2013-05-15 01:25:00,2013-05-15 01:58:00,2013-05-15 01:48:00
X1.2,11944,2014-01-07,2014-01-07 18:04:00,2014-01-07 18:58:00,2014-01-07 18:32:00
X1.3,11430,2012-03-07,2012-03-07 01:05:00,2012-03-07 01:23:00,2012-03-07 01:14:00
X1.3,12035,2014-04-25,2014-04-25 00:17:00,2014-04-25 00:38:00,2014-04-25 00:27:00
X1.3,12673,2017-09-07,2017-09-07 14:20:00,2017-09-07 14:55:00,2017-09-07 14:36:00
X1.4,11302,2011-09-22,2011-09-22 10:29:00,2011-09-22 11:44:00,2011-09-22 11:01:00
X1.4,11520,2012-07-12,2012-07-12 15:37:00,2012-07-12 17:30:00,2012-07-12 16:49:00
X1.5,11166,2011-03-09,2011-03-09 23:13:00,2011-03-09 23:29:00,2011-03-09 23:23:00
X1.5,12087,2014-06-10,2014-06-10 12:36:00,2014-06-10 13:03:00,2014-06-10 12:52:00
X1.6,12158,2014-09-10,2014-09-10 17:21:00,2014-09-10 18:20:00,2014-09-10 17:45:00
X1.6,12192,2014-10-22,2014-10-22 14:02:00,2014-10-22 14:50:00,2014-10-22 14:28:00
X1.6,12205,2014-11-07,2014-11-07 16:53:00,2014-11-07 17:34:00,2014-11-07 17:26:00
X1.7,11402,2012-01-27,2012-01-27 17:37:00,2012-01-27 18:56:00,2012-01-27 18:37:00
X1.7,11748,2013-05-13,2013-05-13 01:53:00,2013-05-13 02:32:00,2013-05-13 02:17:00
X1.7,11882,2013-10-25,2013-10-25 07:53:00,2013-10-25 08:09:00,2013-10-25 08:01:00
X1.8,11283,2011-09-07,2011-09-07 22:32:00,2011-09-07 22:44:00,2011-09-07 22:38:00
X1.8,11598,2012-10-23,2012-10-23 03:13:00,2012-10-23 03:21:00,2012-10-23 03:17:00
X1.8,12242,2014-12-20,2014-12-20 00:11:00,2014-12-20 00:55:00,2014-12-20 00:28:00
X1.9,11302,2011-09-24,2011-09-24 09:21:00,2011-09-24 09:48:00,2011-09-24 09:40:00
X1.9,11339,2011-11-03,2011-11-03 20:16:00,2011-11-03 20:32:00,2011-11-03 20:27:00
X2.0,12192,2014-10-26,2014-10-26 10:04:00,2014-10-26 11:18:00,2014-10-26 10:56:00
X2.0,12192,2014-10-27,2014-10-27 14:12:00,2014-10-27 15:09:00,2014-10-27 14:47:00
X2.1,11283,2011-09-06,2011-09-06 22:12:00,2011-09-06 22:24:00,2011-09-06 22:20:00
X2.1,1283,2011-09-06,2011-09-06 22:12:00,2011-09-06 22:24:00,2011-09-06 22:20:00
X2.1,11882,2013-10-25,2013-10-25 14:51:00,2013-10-25 15:12:00,2013-10-25 15:03:00
X2.1,12297,2015-03-11,2015-03-11 16:11:00,2015-03-11 16:29:00,2015-03-11 16:22:00
X2.2,11158,2011-02-15,2011-02-15 01:44:00,2011-02-15 02:06:00,2011-02-15 01:56:00
X2.2,12087,2014-06-10,2014-06-10 11:36:00,2014-06-10 11:44:00,2014-06-10 11:42:00
X2.2,12673,2017-09-06,2017-09-06 08:57:00,2017-09-06 09:17:00,2017-09-06 09:10:00
X2.3,11875,2013-10-29,2013-10-29 21:42:00,2013-10-29 22:01:00,2013-10-29 21:54:00
X2.7,12339,2015-05-05,2015-05-05 22:05:00,2015-05-05 22:15:00,2015-05-05 22:11:00
X2.8,11748,2013-05-13,2013-05-13 15:48:00,2013-05-13 16:16:00,2013-05-13 16:05:00
X3.1,12192,2014-10-24,2014-10-24 21:07:00,2014-10-24 22:13:00,2014-10-24 21:41:00
X3.2,11748,2013-05-14,2013-05-14 00:00:00,2013-05-14 01:20:00,2013-05-14 01:11:00
X3.3,11890,2013-11-05,2013-11-05 22:07:00,2013-11-05 22:15:00,2013-11-05 22:12:00
X4.9,11990,2014-02-25,2014-02-25 00:39:00,2014-02-25 01:03:00,2014-02-25 00:49:00
X5.4,11429,2012-03-07,2012-03-07 00:02:00,2012-03-07 00:40:00,2012-03-07 00:24:00
X6.9,11263,2011-08-09,2011-08-09 07:48:00,2011-08-09 08:08:00,2011-08-09 08:05:00
X8.2,12673,2017-09-10,2017-09-10 15:35:00,2017-09-10 16:31:00,2017-09-10 16:06:00
X9.3,12673,2017-09-06,2017-09-06 11:53:00,2017-09-06 12:10:00,2017-09-06 12:02:00
