DATE,population,labor_force,population_percent,employed_total,employed_percent,agrictulture_ratio,nonagriculture_ratio,unemployed qty,RATE,not_in_labor,footnotes
1975,153153,93774,61.2,85846,56.1,3408,82438,7929,8.5,59377,
1976,156150,96158,61.6,88752,56.8,3331,85421,7406,7.7,59991,
1977,159033,99008,62.3,92017,57.9,3283,88734,6991,7.1,60025,
1978,161910,102250,63.2,96048,59.3,3387,92661,6202,6.1,59659,1
1979,164863,104962,63.7,98824,59.9,3347,95477,6137,5.8,59900,
1980,167745,106940,63.8,99302,59.2,3364,95938,7637,7.1,60806,
1981,170130,108670,63.9,100397,59,3368,97030,8273,7.6,61460,
1982,172271,110204,64,99526,57.8,3401,96125,10678,9.7,62067,
1983,174215,111550,64,100834,57.9,3383,97450,10717,9.6,62665,
1984,176383,113544,64.4,105005,59.5,3321,101685,8539,7.5,62839,
1985,178206,115461,64.8,107150,60.1,3179,103971,8312,7.2,62744,
1986,180587,117834,65.3,109597,60.7,3163,106434,8237,7,62752,1
1987,182753,119865,65.6,112440,61.5,3208,109232,7425,6.2,62888,
1988,184613,121669,65.9,114968,62.3,3169,111800,6701,5.5,62944,
1989,186393,123869,66.5,117342,63,3199,114142,6528,5.3,62523,
1990,189164,125840,66.5,118793,62.8,3223,115570,7047,5.6,63324,1
1991,190925,126346,66.2,117718,61.7,3269,114449,8628,6.8,64578,
1992,192805,128105,66.4,118492,61.5,3247,115245,9613,7.5,64700,
1993,194838,129200,66.3,120259,61.7,3115,117144,8940,6.9,65638,
1994,196814,131056,66.6,123060,62.5,3409,119651,7996,6.1,65758,1
1995,198584,132304,66.6,124900,62.9,3440,121460,7404,5.6,66280,
1996,200591,133943,66.8,126708,63.2,3443,123264,7236,5.4,66647,
1997,203133,136297,67.1,129558,63.8,3399,126159,6739,4.9,66836,1
1998,205220,137673,67.1,131463,64.1,3378,128085,6210,4.5,67547,1
1999,207753,139368,67.1,133488,64.3,3281,130207,5880,4.2,68385,1
2000,212577,142583,67.1,136891,64.4,2464,134427,5692,4,69994,1
2001,215092,143734,66.8,136933,63.7,2299,134635,6801,4.7,71359,
2002,217570,144863,66.6,136485,62.7,2311,134174,8378,5.8,72707,
2003,221168,146510,66.2,137736,62.3,2275,135461,8774,6,74658,1
2004,223357,147401,66,139252,62.3,2232,137020,8149,5.5,75956,1
2005,226082,149320,66,141730,62.7,2197,139532,7591,5.1,76762,1
2006,228815,151428,66.2,144427,63.1,2206,142221,7001,4.6,77387,1
2007,231867,153124,66,146047,63,2095,143952,7078,4.6,78743,1
2008,233788,154287,66,145362,62.2,2168,143194,8924,5.8,79501,1
2009,235801,154142,65.4,139877,59.3,2103,137775,14265,9.3,81659,1
2010,237830,153889,64.7,139064,58.5,2206,136858,14825,9.6,83941,1
2011,,,,,,,,,8.9,,
2012,,,,,,,,,8.1,,
2013,,,,,,,,,7.4,,
2014,,,,,,,,,6.2,,
2015,,,,,,,,,5.3,,
2016,,,,,,,,,4.9,,
2017,,,,,,,,,4.4,,
2018,,,,,,,,,3.9,,
